phylum,MEO10_0,MEO10_6,MEO11_0,MEO11_6,MEO12_0,MEO12_6,MEO13_0,MEO13_6,MEO14_0,MEO14_6,MEO15_0,MEO15_6,MEO16_0,MEO16_6,MEO17_0,MEO17_6,MEO18_0,MEO18_6,MEO19_0,MEO19_6,MEO1_0,MEO1_7,MEO20_0,MEO20_6,MEO2_0,MEO2_7,MEO3_0,MEO3_7,MEO4_0,MEO4_7,MEO5_0,MEO5_7,MEO6_0,MEO6_7,MEO7_0,MEO7_6,MEO9_0,MEO9_6,MEY10_0,MEY10_6,MEY12_0,MEY12_6,MEY13_0,MEY13_6,MEY14_0,MEY14_6,MEY15_0,MEY15_cntrl,MEY16_0,MEY16_6,MEY17_0,MEY17_6,MEY18_0,MEY18_6,MEY19_0,MEY19_6,MEY1_0,MEY1_6,MEY20_0,MEY20_6,MEY21_0,MEY21_6,MEY22_0,MEY22_6,MEY23_0,MEY23_6,MEY24_0,MEY24_6,MEY2_0,MEY2_6,MEY3_0,MEY3_6,MEY5_0,MEY5_6,MEY6_0,MEY6_6,MEY9_0,MEY9_6,total,superkingdom,kingdom,tax
Acidobacteria,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,0,1,2,0,1,0,1,5,1,0,0,0,0,1,0,2,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,43,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Acidobacteria
Actinobacteria,246,59,87,89,100,94,113,50,167,41,162,47,112,81,94,59,56,61,143,130,170,228,218,163,109,116,88,89,87,57,133,78,153,129,32,47,56,67,24,31,18,39,45,30,52,67,24,1,33,60,142,52,179,143,93,138,185,209,102,53,16,110,742,340,448,313,958,178,63,59,60,173,253,56,149,175,96,616,10536,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Actinobacteria
Aquificae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Aquificae
Armatimonadetes,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Armatimonadetes
Atribacterota,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Atribacterota
Bacteroidota,374,4662,565,1188,2228,8036,11103,2952,6364,2417,608,3482,10844,9429,7466,2624,1528,5599,4656,4831,19134,3242,62189,12871,7311,4066,23384,19459,18329,19390,23449,17387,20262,11931,8401,2510,5133,1605,1247,4108,1971,3425,5162,3559,8676,2975,1166,42,2141,7649,11001,2225,23713,6702,8589,6118,47411,24864,1713,3681,5,6902,20366,40766,65135,18356,56837,11326,10610,4678,5613,29254,20164,7745,19036,28480,10101,83526,988047,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Bacteroidota
Balneolaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Balneolaeota
Calditrichaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Calditrichaeota
Candidatus Melainabacteria,256,60,28,15,87,45,65,11,18,37,23,39,214,75,214,15,12,82,0,1,300,87,101,344,0,0,635,1123,880,769,705,293,339,124,50,54,0,0,9,22,27,10,96,19,8,17,5,0,71,5,17,3,98,23,26,15,8,1,3,28,0,18,13,66,114,457,24,86,0,0,0,4,3,0,1,0,49,202,8649,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Candidatus Melainabacteria
Chlamydiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Chlamydiae
Chlorobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Chlorobi
Chloroflexi,0,0,1,1,3,1,5,2,4,0,1,0,0,1,1,2,2,1,1,4,3,1,2,3,1,2,2,1,1,2,2,1,2,3,0,1,0,0,0,0,1,0,3,1,0,1,0,0,1,0,1,0,3,3,0,0,3,4,3,0,0,2,11,1,1,2,1,1,0,1,0,2,0,1,2,2,2,6,116,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Chloroflexi
Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Chrysiogenetes
Coprothermobacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Coprothermobacterota
Cyanobacteria,53,21,8,2,37,14,35,6,30,13,2,17,43,27,55,6,12,18,7,11,71,39,30,84,10,3,206,446,269,169,261,148,83,28,8,21,3,16,6,8,17,5,35,8,4,7,1,0,19,5,18,6,31,38,9,29,16,27,25,6,0,16,100,26,27,142,9,23,10,16,5,8,4,6,5,6,34,110,3179,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Cyanobacteria
Deferribacteres,17,270,19,57,120,395,195,246,0,0,2,354,0,0,1,0,0,0,755,342,467,74,147,1521,3,2,173,234,801,331,430,428,615,660,86,227,0,0,0,45,88,201,170,141,123,1534,220,2,150,214,442,328,0,0,0,0,149,1426,0,0,0,0,0,0,0,15,1,1,224,88,2066,1131,34,419,47,1067,0,0,19298,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Deferribacteres
Deinococcus-Thermus,0,0,0,0,1,0,1,2,2,1,0,1,0,1,1,0,0,0,1,0,2,3,0,2,0,2,0,0,0,0,0,1,4,0,0,1,1,0,0,0,0,2,0,1,3,3,0,0,1,0,3,1,5,0,0,4,2,3,3,2,0,0,25,4,1,8,0,1,0,2,0,1,0,1,0,0,1,5,109,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Deinococcus-Thermus
Elusimicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Elusimicrobia
Fibrobacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Fibrobacteres
Firmicutes,43031,40650,36732,33544,34858,42131,38087,26763,63881,44296,46577,44371,50115,56793,48127,38651,51333,46575,61217,72813,97888,139363,190156,196379,100365,138799,81166,96360,158979,94535,173561,112815,164802,120099,24516,30396,36897,45580,12741,22253,15828,28869,29836,35276,31234,48735,31283,394,26626,35378,76231,49321,102842,126345,33993,86187,250606,289900,53865,46091,22848,65730,575776,52943,219424,194390,149486,213677,90066,122293,103559,198147,45535,91639,63672,87457,102877,273851,7030405,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Firmicutes
Fusobacteria,0,0,0,0,0,0,0,1,1,1,0,2,0,2,0,1,0,1,0,2,2,0,0,4,0,0,0,1,0,2,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,2,4,0,2,0,1,2,0,0,1,12,2,1,8,1,1,0,1,1,0,0,3,1,0,0,3,77,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Fusobacteria
Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Gemmatimonadetes
Kiritimatiellaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Kiritimatiellaeota
Lentisphaerae,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Lentisphaerae
Nitrospinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Nitrospinae
Nitrospirae,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,12,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Nitrospirae
Planctomycetota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Planctomycetota
Proteobacteria,232,66,17,77,63,144,92,65,177,34,69,40,192,118,138,64,47,74,149,193,299,75,767,327,115,58,311,144,306,278,245,421,376,289,55,39,92,70,25,33,65,27,169,19,170,71,14,9,94,37,266,34,450,139,171,82,184,111,175,72,5,95,1289,432,840,505,1032,124,43,25,307,190,183,50,50,127,211,446,14689,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Proteobacteria
Rhodothermaeota,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Rhodothermaeota
Spirochaetes,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,14,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Spirochaetes
Synergistetes,2,2,0,6,7,12,41,8,26,3,0,0,7,7,11,7,7,24,7,9,5,0,66,22,43,12,2,7,14,4,21,19,33,40,1,5,4,4,3,4,0,3,9,2,6,0,3,0,6,2,37,3,53,21,6,20,40,14,2,5,1,2,103,2,9,21,26,15,6,6,8,10,5,6,16,3,33,47,1046,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Synergistetes
Tenericutes,1,4,2,2,0,3,34,7,11,2,2,37,5,11,0,3,23,80,17,10,32,11,186,63,10,32,15,7,40,8,105,67,69,134,10,23,13,9,6,13,5,28,36,22,18,45,25,1,26,10,56,16,13,58,1,29,144,47,13,28,0,25,350,47,27,32,17,37,17,58,40,154,13,40,85,204,113,155,3142,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Tenericutes
Thermodesulfobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Thermodesulfobacteria
Thermotogae,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Thermotogae
Verrucomicrobia,2685,4,6,5,923,1206,72,0,38,89,4,0,295,2,154,7,1,189,20,37,25,9,254,118,6,5,6,0,89,2600,23,1449,667,21,30,0,93,7,44,8,44,2,422,0,158,3,0,0,46,1,423,0,260,15,606,0,40,0,108,12,56,46,1038,462,1895,455,1236,14,0,6,116,59,71,36,9,3,245,128,19206,Bacteria,Bacteria_none,Bacteria;Bacteria_none;Verrucomicrobia
Unknown,7,18,8,12,8,17,35,12,21,5,3,3,12,13,9,17,11,7,12,14,18,22,31,45,14,13,9,13,21,13,24,16,44,31,8,10,8,17,12,8,7,6,8,4,15,7,6,0,7,7,30,12,18,25,4,13,33,33,8,6,0,16,112,23,33,39,19,22,15,12,12,19,9,12,14,25,23,71,1346,Unclassified,Unknown,Unclassified;Unknown;Unknown