phylum,MEY11_0,MEY11_1,MEY11_2,MEY11_3,MEY11_4,MEY11_5,MEY11_6,MEY11_7,MEY11_8,MEY11_9,MEY4_0,MEY4_1,MEY4_2,MEY4_3,MEY4_4,MEY4_5,MEY4_6,MEY4_7,MEY4_8,MEY4_9,MEY7_0,MEY7_1,MEY7_2,MEY7_3,MEY7_4,MEY7_5,MEY7_6,MEY7_7,MEY7_8,MEY7_8_control,MEY7_9,MEY8_0,MEY8_1,MEY8_2,MEY8_3,MEY8_4,MEY8_5,MEY8_6,MEY8_7,MEY8_8,MEY8_9,total,superkingdom,kingdom,tax
Firmicutes,183411,155609,148200,192393,198640,120879,171484,162709,179314,252753,11621,15708,30307,14447,20960,15276,20348,20484,21262,26647,17250,20435,21288,25908,20609,20055,21935,34484,26876,73367,20635,23921,26032,30870,25748,132941,61934,120513,110827,160668,173677,3132425,Bacteria,none,Bacteria;none;Firmicutes
Bacteroidota,18300,8513,35785,23093,40682,26677,13577,17458,6994,14052,5562,1207,1982,1372,1243,1197,1237,1632,5276,921,4556,1133,718,1579,1366,1736,582,3349,974,2673,2032,3093,516,1975,1823,13646,4405,14415,13220,9348,20792,330691,Bacteria,none,Bacteria;none;Bacteroidota
Deferribacteres,665,818,2562,1439,726,726,781,757,876,1089,36,40,160,109,79,47,201,131,172,202,42,320,537,238,154,116,75,73,55,144,75,71,173,177,155,706,325,697,448,547,964,17708,Bacteria,none,Bacteria;none;Deferribacteres
Actinobacteria,413,434,491,454,608,293,498,415,440,734,40,23,51,26,42,27,37,29,51,39,38,43,42,34,33,33,35,43,40,203,21,37,82,27,30,335,146,387,266,362,348,7730,Bacteria,none,Bacteria;none;Actinobacteria
Proteobacteria,332,292,531,467,532,229,334,240,486,423,39,16,71,32,34,29,26,9,41,30,51,23,40,35,42,18,15,45,25,108,30,58,64,37,53,385,72,553,399,609,254,7109,Bacteria,none,Bacteria;none;Proteobacteria
Tenericutes,195,193,281,291,197,101,172,197,131,435,6,10,29,5,10,24,21,25,18,25,17,18,15,12,17,25,18,28,6,32,14,17,3,22,11,128,38,107,59,78,118,3149,Bacteria,none,Bacteria;none;Tenericutes
Unknown,161,129,160,157,260,116,152,129,131,208,8,7,24,12,8,5,10,10,12,11,20,8,8,10,10,9,13,14,19,90,9,8,15,13,9,118,57,106,114,113,164,2637,Unclassified,Unknown,Unclassified;Unknown;Unknown
Candidatus Melainabacteria,13,70,602,166,21,15,20,21,61,64,0,0,0,0,0,0,0,0,0,0,84,8,4,6,30,21,15,23,14,16,5,27,14,9,6,119,36,211,235,342,157,2435,Bacteria,none,Bacteria;none;Candidatus Melainabacteria
Verrucomicrobia,182,100,99,135,33,2,37,6,77,33,74,0,2,0,22,40,41,7,42,6,0,0,1,0,0,1,0,0,0,1,0,4,2,1,8,13,5,47,356,263,301,1941,Bacteria,none,Bacteria;none;Verrucomicrobia
Cyanobacteria,33,84,397,112,89,31,54,56,47,86,3,5,10,2,0,5,0,0,6,2,21,4,20,4,6,2,0,8,9,39,4,11,6,7,4,69,26,81,80,136,92,1651,Bacteria,none,Bacteria;none;Cyanobacteria
Synergistetes,9,19,9,58,1,18,18,20,8,18,7,3,0,1,4,0,2,2,1,1,8,2,1,1,4,4,2,4,3,17,3,4,3,1,5,20,11,22,9,28,30,381,Bacteria,none,Bacteria;none;Synergistetes
Deinococcus-Thermus,28,21,44,22,37,10,5,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,3,0,1,0,0,4,7,3,2,3,4,4,212,Bacteria,none,Bacteria;none;Deinococcus-Thermus
Chloroflexi,10,5,5,13,17,2,19,9,10,18,0,2,1,1,1,2,0,0,1,0,0,1,1,2,2,1,0,1,1,1,1,0,0,0,2,8,7,3,7,5,4,163,Bacteria,none,Bacteria;none;Chloroflexi
Fusobacteria,0,3,4,1,5,2,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,5,2,2,0,5,2,46,Bacteria,none,Bacteria;none;Fusobacteria
Acidobacteria,1,1,1,6,2,2,1,2,0,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,2,0,30,Bacteria,none,Bacteria;none;Acidobacteria
Spirochaetes,1,0,3,5,2,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,1,0,25,Bacteria,none,Bacteria;none;Spirochaetes
Thermotogae,1,2,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,16,Bacteria,none,Bacteria;none;Thermotogae
Chlorobi,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,11,Bacteria,none,Bacteria;none;Chlorobi
Planctomycetota,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,Bacteria,none,Bacteria;none;Planctomycetota
Aquificae,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,10,Bacteria,none,Bacteria;none;Aquificae
Chlamydiae,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,9,Bacteria,none,Bacteria;none;Chlamydiae
Balneolaeota,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,8,Bacteria,none,Bacteria;none;Balneolaeota
Gemmatimonadetes,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,8,Bacteria,none,Bacteria;none;Gemmatimonadetes
Lentisphaerae,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,Bacteria,none,Bacteria;none;Lentisphaerae
Abditibacteriota,0,0,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Bacteria,none,Bacteria;none;Abditibacteriota
Nitrospirae,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,Bacteria,none,Bacteria;none;Nitrospirae
Fibrobacteres,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,Bacteria,none,Bacteria;none;Fibrobacteres
Armatimonadetes,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,Bacteria,none,Bacteria;none;Armatimonadetes
Kiritimatiellaeota,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Bacteria,none,Bacteria;none;Kiritimatiellaeota
Elusimicrobia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,Bacteria,none,Bacteria;none;Elusimicrobia
Coprothermobacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,Bacteria,none,Bacteria;none;Coprothermobacterota
Rhodothermaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Bacteria,none,Bacteria;none;Rhodothermaeota
Chrysiogenetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,Bacteria,none,Bacteria;none;Chrysiogenetes
Calditrichaeota,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,none,Bacteria;none;Calditrichaeota
Atribacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,Bacteria,none,Bacteria;none;Atribacterota
Ignavibacteriae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,none,Bacteria;none;Ignavibacteriae
Nitrospinae,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,none,Bacteria;none;Nitrospinae
Caldiserica,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,none,Bacteria;none;Caldiserica